epoch,lam_text,ops,seed,alpha,amp,beta,corner_0,corner_1,corner_2,corner_3,corner_4,corner_5,corner_6,corner_7,fx,fy,gamma,sigma_b,sigma_n
1,1.0,"moire,geo,photo,noise,blur",0,-0.11061004549264908,-1.178051233291626,0.43817707896232605,-0.5552648305892944,-0.0646374300122261,0.2707788944244385,-0.4532867670059204,0.013907249085605145,0.35731256008148193,-0.62888103723526,0.30344247817993164,0.7681288123130798,0.6688245534896851,-0.170840322971344,-1.17576265335083,-1.3530694246292114
2,1.0,"moire,geo,photo,noise,blur",0,-0.1331697553396225,-1.5643595457077026,0.5371910333633423,-0.4612150192260742,-0.2428704798221588,0.5287941098213196,-0.4404476583003998,0.17681246995925903,0.36646002531051636,-0.7357876896858215,0.5007007718086243,0.8767262101173401,0.8771784901618958,-0.6141670346260071,-1.5715383291244507,-2.2299437522888184
3,1.0,"moire,geo,photo,noise,blur",0,-0.20591086149215698,-1.5455795526504517,0.48157814145088196,-0.3839186728000641,-0.10445728898048401,0.8157588839530945,-0.3553730845451355,-0.07218965142965317,0.46214163303375244,-0.8756407499313354,0.6647571325302124,1.0393476486206055,1.0759702920913696,-1.000880241394043,-1.669452428817749,-2.632772207260132
4,1.0,"moire,geo,photo,noise,blur",0,-0.6098434329032898,-1.5535327196121216,0.42176827788352966,-0.4803391695022583,0.06398595124483109,0.9617955088615417,-0.33808013796806335,-0.2564033269882202,0.6332070827484131,-0.915957510471344,0.5305119156837463,1.2182188034057617,1.3259665966033936,-1.613706111907959,-1.75542151927948,-2.983799457550049
5,1.0,"moire,geo,photo,noise,blur",0,-1.1215019226074219,-1.5200814008712769,0.4405393898487091,-0.7499994039535522,0.004274658393114805,0.9802206754684448,-0.44802233576774597,-0.19559457898139954,0.7064195871353149,-0.958739697933197,0.5470647811889648,1.384157657623291,1.4440170526504517,-2.41996693611145,-1.8956544399261475,-3.3104000091552734
6,1.0,"moire,geo,photo,noise,blur",0,-1.5639334917068481,-1.507553219795227,0.5109244585037231,-0.7551425099372864,-0.2601773142814636,1.0506300926208496,-0.5558591485023499,0.06215162202715874,0.5573801398277283,-0.8748909831047058,0.36617612838745117,1.4999123811721802,1.5990475416183472,-2.9734585285186768,-2.0635030269622803,-3.6248815059661865
7,1.0,"moire,geo,photo,noise,blur",0,-1.8611832857131958,-1.513644814491272,0.5858244299888611,-0.6357181072235107,-0.541537344455719,1.0991075038909912,-0.5824804902076721,0.3776157796382904,0.44718605279922485,-0.8056302070617676,0.09726373851299286,1.4494436979293823,1.5719925165176392,-3.3000450134277344,-2.203040599822998,-3.7295238971710205
8,1.0,"moire,geo,photo,noise,blur",0,-1.962802767753601,-1.6241000890731812,0.9467308521270752,-0.39210420846939087,-0.7311059236526489,1.1217947006225586,-0.6019172668457031,0.48939093947410583,0.4158053398132324,-1.0136748552322388,-0.09183656424283981,1.6256904602050781,1.7069587707519531,-3.5521841049194336,-2.279435396194458,-3.8445916175842285
9,1.0,"moire,geo,photo,noise,blur",0,-2.078792095184326,-1.6887599229812622,1.172696828842163,-0.13013955950737,-0.8248227834701538,1.3058563470840454,-0.5107241272926331,0.6615397930145264,0.13903525471687317,-1.2940346002578735,-0.22909203171730042,1.5211753845214844,1.6823577880859375,-3.7515063285827637,-2.3017666339874268,-4.0621466636657715
10,1.0,"moire,geo,photo,noise,blur",0,-2.106285810470581,-1.9088151454925537,1.2168351411819458,-0.027415674179792404,-0.5994855165481567,1.5309503078460693,-0.15306858718395233,0.6463868618011475,0.13217513263225555,-1.273077368736267,-0.13786335289478302,1.3147556781768799,1.4821116924285889,-3.9412600994110107,-2.3745882511138916,-4.099013805389404
11,1.0,"moire,geo,photo,noise,blur",0,-2.144047975540161,-2.0162689685821533,1.2483901977539062,0.017612090334296227,-0.3754986524581909,1.5471372604370117,-0.3474358022212982,0.2611338496208191,0.30923449993133545,-1.3652329444885254,-0.05257349833846092,1.1254571676254272,1.4373177289962769,-4.082390308380127,-2.4683117866516113,-3.864424228668213
12,1.0,"moire,geo,photo,noise,blur",0,-2.015399694442749,-2.0817224979400635,1.3839945793151855,-0.3469935953617096,0.019060837104916573,1.580691933631897,-0.21251095831394196,-0.07752072811126709,0.435691773891449,-1.391875982284546,-0.32376182079315186,1.4187897443771362,1.6481126546859741,-4.216858386993408,-2.523106575012207,-3.996354818344116
13,1.0,"moire,geo,photo,noise,blur",0,-2.041015148162842,-2.200591802597046,1.5855897665023804,-0.5424451231956482,0.18536031246185303,1.572539210319519,-0.034255415201187134,0.046167030930519104,0.44001132249832153,-1.372728943824768,-0.2897069454193115,1.426181674003601,1.5483735799789429,-4.360988140106201,-2.6003994941711426,-4.007748603820801
14,1.0,"moire,geo,photo,noise,blur",0,-2.104515314102173,-2.2889437675476074,1.695219874382019,-0.6605319380760193,0.3334839940071106,1.530352234840393,0.11057355999946594,0.06510498374700546,0.46328696608543396,-1.2721675634384155,-0.23658786714076996,1.4153308868408203,1.5405360460281372,-4.477126598358154,-2.6613388061523438,-3.9690542221069336
15,1.0,"moire,geo,photo,noise,blur",0,-2.0756497383117676,-2.468179941177368,1.607330322265625,-0.7143100500106812,0.3229423463344574,1.51710844039917,0.003352543106302619,0.12529359757900238,0.3860432803630829,-1.3274024724960327,-0.40321946144104004,1.629760503768921,1.6997756958007812,-4.520471572875977,-2.713099479675293,-4.192864894866943
