epoch,A_inv,B_total,clean_dist_cosine,val_clean_acc,val_combined_acc,head_std,lam_text,ops,seed
1,-0.12098386124880225,3.0093423039824874,0.98512496109362,0.7090909090909091,0.4888888888888889,0.012239134396184926,1.0,"moire,geo,photo,noise,blur",0
2,0.03832893045964064,0.9568937862360919,0.93190598487854,0.8767676767676768,0.703030303030303,0.03980514434752641,1.0,"moire,geo,photo,noise,blur",0
3,0.040130111630316136,0.5796212278030537,0.9424043518525583,0.907070707070707,0.696969696969697,0.041314155553226116,1.0,"moire,geo,photo,noise,blur",0
4,0.04067208459255872,0.4233892907698949,0.9459199066515322,0.9191919191919192,0.7333333333333333,0.041797408627139196,1.0,"moire,geo,photo,noise,blur",0
5,0.03789505893709483,0.32634742999518357,0.9464802079730563,0.9212121212121213,0.7070707070707071,0.04193370623721017,1.0,"moire,geo,photo,noise,blur",0
6,0.035502029651844944,0.28514966479054205,0.947943248130657,0.9151515151515152,0.7111111111111111,0.0419230494234297,1.0,"moire,geo,photo,noise,blur",0
7,0.034122767133845225,0.24907719592253366,0.9542011309553076,0.9131313131313131,0.7272727272727273,0.04186512157320976,1.0,"moire,geo,photo,noise,blur",0
8,0.030332477487347746,0.207201163801882,0.9543265501658121,0.9212121212121213,0.7434343434343434,0.04169496535151093,1.0,"moire,geo,photo,noise,blur",0
9,0.028840272169974115,0.22612783036850118,0.9565603733062744,0.9090909090909091,0.7414141414141414,0.041555171349534285,1.0,"moire,geo,photo,noise,blur",0
10,0.025690897264414363,0.20476733644803366,0.9605013021716365,0.9050505050505051,0.7232323232323232,0.04140136708263998,1.0,"moire,geo,photo,noise,blur",0
11,0.025865932719575033,0.1682788125342793,0.9631890853246053,0.9232323232323232,0.7575757575757576,0.041170134450550434,1.0,"moire,geo,photo,noise,blur",0
12,0.025002604833355657,0.1584241842782056,0.9651947573379234,0.9313131313131313,0.7353535353535353,0.041077111606244686,1.0,"moire,geo,photo,noise,blur",0
13,0.024686047255440994,0.15929568696905066,0.9660035791220488,0.9111111111111111,0.705050505050505,0.040958012695665715,1.0,"moire,geo,photo,noise,blur",0
14,0.02317337029510074,0.18575142848270912,0.9663102626800537,0.9050505050505051,0.7353535353535353,0.040691643125481076,1.0,"moire,geo,photo,noise,blur",0
15,0.021122179615000885,0.13336868225424378,0.9694991597422847,0.9131313131313131,0.7414141414141414,0.040260121778205586,1.0,"moire,geo,photo,noise,blur",0
